# k1 k2
-0.0195527 -0.00878911 
0.0215663 0.662542 
0.0173278 2.18026 
-0.0335017 -0.0130972 
0.038683 0.685944 
0.0282697 2.19226 
-0.0366503 -0.0169564 
0.0265067 0.700525 
0.03736 2.20257 
0.0039033 -0.0133468 
-0.0240806 0.701602 
-0.00121432 2.19488 
0.0391983 -0.00616697 
-0.0440226 0.719558 
-0.044758 2.18106 
0.0660408 0.00187566 
0.769951 0.0103749 
-0.0300899 2.09959 
0.0776144 0.0085298 
0.821256 0.0741498 
0.05462 2.19698 
0.05904 0.010164 
0.825211 0.0650702 
0.0740492 2.23505 
0.0391086 0.00844607 
0.789828 0.00220991 
0.031387 2.19127 
0.0348518 0.00970382 
0.757373 -0.0386 
-0.022894 2.17964 
0.0362031 0.0145224 
0.749216 -0.0160971 
-0.040357 2.11541 
0.03486 0.0166499 
0.747794 0.021312 
0.016077 2.19749 
0.0304404 0.0109536 
0.000997004 0.726461 
0.0227568 2.22112 
-0.00495459 0.0285437 
-0.0575361 0.699958 
-0.0296517 2.18759 
-0.0283535 0.0231121 
-0.0774724 0.702743 
-0.076586 2.09565 
-0.04355 0.0168806 
-0.0142812 0.749118 
-0.0419284 2.1734 
-0.0460371 0.00751404 
0.811319 0.0680689 
0.0315031 2.21803 
-0.0496847 -0.00862946 
0.835819 0.0740219 
0.0760646 2.20122 
-0.0582559 -0.0185368 
0.819307 0.0217268 
0.0437093 2.19572 
-0.0638181 -0.0162457 
0.792668 -0.0253063 
-0.0115762 2.18151 
-0.0571341 -0.00939173 
0.78469 -0.00147808 
-0.0207001 2.17737 
-0.0405285 -0.00186506 
0.778362 0.0458994 
0.0301809 2.19383 
-0.0202294 0.00506397 
0.740577 0.0223739 
0.0411568 2.20811 
-0.000214939 0.0102932 
-0.0449819 0.691271 
-0.0118968 2.18958 
0.0176053 0.01327 
-0.0702171 0.669114 
-0.0663414 2.16707 
0.0360737 0.0163829 
-0.020992 0.685049 
-0.0499906 2.16681 
0.0507689 0.0209588 
0.711585 0.0463105 
0.0189586 2.1834 
