# k1 k2
-0.00938066 0.0387355
-2.22756 -0.0169409
-2.53172 -0.0354951
0.00706721 0.0463544
-2.22306 -0.0219389
-2.48297 -0.0686337
0.000645814 0.0366605
-2.22797 -0.0125757
-2.48999 -0.058241
0.0125856 -0.026714
-2.20234 0.0284987
-2.46874 -0.0195898
0.00106733 -0.0486743
-2.18076 0.0548581
-2.45198 0.0311925
-0.00743887 -0.0732784
-2.17949 0.0154469
-2.50107 0.0214952
-0.0126326 -0.0726143
-2.19803 -0.0441759
-2.45994 -0.0607901
-0.0110752 -0.0488144
-2.20257 -0.0443844
-2.46621 -0.100547
-0.00928429 -0.0347001
-2.18777 0.0109444
-2.45215 -0.056468
-0.00900286 -0.0360819
-2.17985 0.0545766
-2.44857 0.00519626
-0.0176945 -0.0369029
-2.18376 0.0409386
-2.51311 0.0251591
-0.0191293 -0.0293188
-2.20115 0.00518471
-2.49482 -0.0270086
-0.0183684 -0.0143252
-2.20019 0.014489
-2.48374 -0.0538068
-0.0143111 0.00655353
-2.17764 0.0641063
-2.48571 0.0114576
-0.0076846 0.0355021
-2.16567 0.0893542
-2.54424 0.0686164
-0.0116343 0.0521398
-2.1695 0.0406896
-2.47179 0.0393437
-0.00394009 0.0558119
-2.19263 -0.0386113
-2.47767 -0.0480958
0.00795485 0.055236
-2.18697 -0.056673
-2.47282 -0.0975947
0.0171223 0.0574882
-2.17287 -0.0117706
-2.45975 -0.0665438
0.0109491 0.0596894
-2.16018 0.0387334
-2.45039 -0.00490947
0.00242984 0.0542469
-2.16643 0.0270428
-2.45735 0.00894953
-0.00569882 0.0400086
-2.19316 -0.0180795
-2.47278 -0.0469403
-0.0128146 0.0210559
-2.19475 -0.00827402
-2.48324 -0.0655431
-0.0185759 0.00313786
-2.17558 0.0492227
-2.48467 -0.00672089
-0.0093054 -0.0269195
-2.1648 0.079818
-2.46877 0.0559974
-0.0192397 -0.0419273
-2.17056 0.0441173
-2.475 0.0451774
-0.021424 -0.0521109
-2.1932 -0.0176619
-2.49398 -0.0263184
-0.0218937 -0.0474811
-2.2006 -0.0272874
-2.49865 -0.0723748
-0.0160776 -0.0364468
-2.17674 0.0266566
-2.48075 -0.0299475
-0.0325154 -0.00286404
-2.16283 0.0625067
-2.47032 0.034265
-0.0271408 0.0122389
-2.16573 0.0272639
-2.4817 0.0254073
-0.0244181 0.0104095
-2.18061 -0.0281759
-2.4979 -0.0416838
-0.0192452 8.49606e-05
-2.17876 -0.0258468
-2.48932 -0.073296
-0.0110097 -0.0162024
-2.15928 0.0305127
-2.45655 -0.021615
-0.00615141 -0.0345885
-2.14921 0.0724503
-2.43896 0.0493257
0.00970489 -0.0456133
-2.161 0.0413728
-2.44548 0.0479025
0.0263297 -0.0488632
-2.1919 -0.0205517
-2.46872 -0.0272346
-0.0422865 0.0485172
-2.19937 -0.0228798
-2.47554 -0.0668949
-0.0261873 0.0502257
-2.18381 -0.0113427
-2.46315 -0.0440874
-0.0227142 0.0414837
-2.20846 0.00183141
-2.51589 0.00182076
0.00389917 0.0261711
-2.61164 -0.0292288
0.0134269 0.0530192
-2.62433 -0.0472554
0.0233911 0.0286666
-2.63346 -0.0133444
0.0223815 -0.0227085
-2.61638 0.0499926
0.013349 -0.0548354
-2.5961 0.0695274
-0.00128294 -0.0831684
-2.59362 0.00594202
-0.0171711 -0.0795982
-2.58481 -0.0510637
-2.43103 -0.047044
-0.0200319 -0.0545573
-2.59905 -0.0441755
-2.45957 -0.015121
-0.0462798 -0.0153233
-2.58499 0.00623503
-2.4551 -0.00277228
-0.0461862 -0.0167593
-2.57537 0.0464752
-2.47167 0.00955709
-0.0506335 -0.0262967
-2.60176 0.0237402
-0.0497308 -0.0282097
-2.59362 -0.0242707
-2.47926 -0.0176933
-0.0481207 -0.0164535
-2.59745 -0.00925337
-2.51311 -0.0235029
-0.043433 0.0055159
-2.60499 0.0668485
-0.0224811 0.0326631
-2.60222 0.0727288
-0.00942016 0.0464222
-2.5798 0.0138896
-2.4703 0.00184604
0.0107847 0.0547764
-2.61279 -0.0481357
-2.50408 0.00626454
0.0238652 0.0635047
-2.62987 -0.0523171
-2.50572 -0.0205378
0.0291086 0.0679784
-2.61538 0.00211311
-2.48366 -0.00524339
0.0210198 0.0628065
-2.58976 0.0377634
-2.46761 0.0284321
0.00803675 0.0509352
-2.58322 -0.00282297
-2.4789 0.0321557
-0.00377811 0.0349939
-2.61157 -0.0476451
-2.50769 -0.0130021
-0.014675 0.0174628
-2.63015 -0.0118199
-0.0225465 -0.000443438
-2.62134 0.0611708
-0.0142674 -0.0304963
-2.60158 0.0836465
-0.0298857 -0.0483036
-2.60487 0.0250676
-0.0410263 -0.0567112
-2.62387 -0.0462773
-0.052944 -0.0464729
-2.6341 -0.0367421
-0.0584725 -0.0278515
-2.61317 0.0312477
-0.0634116 -0.00795159
-2.59287 0.0499325
-0.0588775 0.00976509
-2.59469 -0.00325142
-0.0528905 0.00926424
-2.61077 -0.0576979
-0.0447164 0.00362047
-2.60723 -0.034334
-0.0366143 -0.00375439
-2.57975 0.0430949
-0.0443289 -0.00798847
-2.55747 0.0777716
-0.0507933 0.00431819
-2.56144 0.0204105
-0.0569035 0.017749
-2.59134 -0.0495016
-0.0562362 0.0411577
-2.60488 -0.033951
-0.0463887 0.0523938
-2.59146 -0.0155105
-0.0419179 0.0449756
-2.59732 0.00612497
0.000788086 0.0171874
-2.3933 -0.0214523
-1.80119 -0.0142938
0.00994313 0.0431202
-2.44335 -0.0391701
-1.77825 -0.0650927
0.02298 0.0157737
-2.44144 -0.0149374
-1.76896 -0.078009
0.0170772 -0.0244683
-2.41168 0.0402877
-1.75545 -0.0243033
0.0112456 -0.0596943
-2.39097 0.0727436
-1.75972 0.015472
-0.00128783 -0.0850609
-2.42646 0.0251329
-1.83312 -0.0956686
-1.79338 -0.0169511
-0.0120611 -0.0848271
-1.80562 -0.12457
-0.0136913 -0.0631742
-1.87569 -0.0731009
-0.0564595 -0.0116603
-1.90981 -0.0733888
-0.053547 -0.0147443
-1.89769 -0.0568238
-2.4573 0.0642676
-0.0582682 -0.0242867
-2.42796 0.0774226
-1.89839 -0.0318817
-1.89202 0.0340703
-0.057762 -0.0288167
-1.87068 -0.087249
-0.0521116 -0.0210492
-1.91896 -0.0869242
-2.47673 -0.00181705
-0.0449895 -0.00352993
